	E. coli Homolog Accession	E. coli Homolog Gene Name	E-Value
Q72GT4	P0A7D4	PURA	8.9e-109
P62661	P0A7U7	RS20	2.2e-11
Q72GX5	P31826	YDDA	0.81
Q72I14	P0ADY3	RL14	1.6e-56
Q72IE1	P0A7Y4	RNH	3.9e-58
Q72KE0	P0A805	RRF	1.4e-52
Q72JS5	P0A7F9	QUEA	2.4e-85
Q72JJ8	P0CG19	RNPH	5.7e-09
P62652	P0A7N4	RL32	1.5e-08
P62655	P0A7S9	RS13	1.9e-45
Q72I77	P0A8I5	TRMB	4e-27
Q72L62	P28304	QOR1	0.00074
Q72HB4	P0A8C1	YBJQ	8.9e-18
Q72JC8	P05793	ILVC	4.8e-53
Q746H2	P0A8M6	YEEX	4.2e-06
Q72KG3	P0A8A8	RIMP	4.8e-19
Q72KU0	Q46803	YGEW	1.2e-05
Q9ZAF3	P60782	PLSY	2.6e-32
Q72I96	P0A7H6	RECR	8.6e-49
Q72I53	P0A817	METK	1.8e-154
Q72JU9	P0A7K6	RL19	2.9e-36
Q72JC4	P41443	GSPH	3.2e-06
Q72HR3	P0A7L8	RL27	1.8e-32
Q72GY7	P22259	PCKA	4e-158
Q72HR4	P39286	RSGA	3.8e-05
Q72GU0	P0A8I8	RLMH	1.5e-05
P61707	P00957	SYA	2.7e-219
Q72JG7	P00959	SYM	1.2e-07
Q72IH7	P15254	PUR4	6.1e-05
Q72I33	P0AG44	RL17	4.3e-39
P62613	P0AG44	RL17	4.3e-39
Q72HJ6	P30177	YBIB	4.3e-16
Q72J91	P76256	TSAB	1.6e-09
Q72I65	P12295	UNG	0.035
Q72GS1	P0A7J3	RL10	6.4e-18
Q72L77	P0A7Q1	RL35	1.6e-08
Q72GR0	P10442	RNH2	1.2e-46
Q72KT9	P0A717	KPRS	2.2e-05
P62442	P77682	GTRA	3e-05
P61728	P61714	RISB	6e-48
Q72KA1	P0A832	SSRP	2.8e-35
Q72L85	P16659	SYP	1.6e-05
P62381	P60757	HIS1	1.1e-27
Q72I52	P03813	YGEA	1.5e-05
Q72GD1	P77329	HYFG	1.6e-33
P61498	P69503	APT	1.7e-05
Q72GI8	P0A8D0	NRDR	2.1e-39
Q746B8	P75746	PXPA	3.5e-65
Q72IE5	P60595	HIS5	2.1e-08
Q72H57	P06983	HEM3	5e-75
O87197	P60472	UPPS	1e-53
Q72GD8	P0AFE4	NUOK	6.9e-21
Q72H98	P0A796	PFKA	1.3e-86
Q72JR1	P22729	LIVM	5.3e-06
Q72L22	P0AEM6	FLIA	8.2e-07
Q72JC2	P36647	PPDD	1.3e-05
P62350	P06989	HIS2	7.5e-47
Q72IJ9	P06989	HIS2	7.5e-47
Q72LL6	P77806	YBDL	5.9e-08
Q72KF8	P77806	YBDL	5.9e-08
Q72HB8	P40711	ARFB	0.00011
Q72KA9	P0A6Y5	HSLO	4.5e-20
Q72GV1	P30745	MOAA	2.1e-05
P61496	P00914	PHR	3.7e-67
Q72KG1	P10371	HIS4	0.0008
Q9ACJ8	P0A707	IF3	1e-55
O50146	P11446	ARGC	1.9e-45
Q72JQ1	P22188	MURE	2.8e-07
Q72JL6	P0A780	NUSB	1.4e-13
Q72GQ0	P0A763	NDK	4e-45
Q72HS0	P31663	PANC	5.5e-74
Q72K85	P75678	YKFA	1.2e-05
Q72GD5	P77858	HYFC	1.2e-12
P96134	Q46803	YGEW	8.8e-09
Q72HV0	P27247	PLSX	8.1e-56
Q72KN9	P69797	PTNAB	1.2e-05
P62669	P0A7X3	RS9	1.6e-45
Q72L53	P0AEX5	KPPR	7e-05
P62664	P33643	RLUD	5e-05
Q72I04	P60438	RL3	1.8e-61
Q72KB0	P00956	SYI	3e-05
Q72GS9	P60340	TRUB	8e-34
P62659	P0A7T7	RS18	1.4e-18
P34945	P16659	SYP	1.1e-05
Q72KL8	P0AG07	RPE	2.4e-05
Q72J69	P0AG07	RPE	2.4e-05
Q72J70	P0AG07	RPE	2.4e-05
Q72IG5	Q57261	TRUD	1.5e-40
Q72LQ3	P45465	YRAN	3.4e-15
Q72IZ3	P0ACC1	PRMC	1.8e-06
Q72I97	P0A8B5	YBAB	2.8e-14
Q72HP1	P77182	MNMC	2.9e-05
Q72J74	P77182	MNMC	2.9e-05
Q72H31	P0A720	KTHY	6.1e-05
Q72JV2	P78067	YNJE	5.3e-30
Q72K37	P0A858	TPIS	5.9e-62
Q8GBB2	P0A9H7	CFA	3e-05
Q72KL7	O32583	THIS	5.2e-06
P16609	P66899	DPAL	0.00014
Q72IB8	P09546	PUTA	7.4e-17
Q72I20	P0C018	RL18	1.5e-28
Q72JT9	P0A8M0	SYN	6.6e-08
P62467	P60932	UPPP	5.4e-47
Q72LF4	P60932	UPPP	5.4e-47
Q72LF3	P25745	MNMA	1.9e-05
P62667	P02359	RS7	9.4e-55
Q72I89	P0A9U1	YBHF	0.004
Q9RA51	P75895	RUTD	9.3e-06
Q72K16	P11454	ENTF	0.0071
Q72I39	P11454	ENTF	0.0071
Q72J92	P10408	SECA	5.3e-161
Q72HR2	P0AG48	RL21	4.9e-29
Q72JR0	P0A7N1	RL31B	4.8e-13
Q72LI2	P0A7Y8	RNPA	1.3e-07
Q72I23	P02413	RL15	1.8e-21
Q72HM1	P02413	RL15	1.8e-21
Q72JC0	P41443	GSPH	1.2e-06
Q72I16	P62399	RL5	1.3e-72
P62420	Q46938	KDUI	3.6e-06
Q72IN1	P0AA10	RL13	6.8e-55
P62663	P0A7V3	RS3	7.7e-77
P61537	P23837	PHOQ	4.7e-05
P62476	P60390	RSMH	1.5e-66
Q72HP3	P0A731	MGSA	2.1e-37
Q72JU7	P0A7X6	RIMM	1.5e-20
Q72JR7	P0A9K9	SLYD	4.2e-05
Q72JU8	P51981	AEEP	0.026
Q72L16	P0A850	TIG	3.6e-23
P16608	P0A877	TRPA	7.2e-37
Q72GV9	P0A7L0	RL1	6.7e-73
Q72IQ5	P0A6U3	MNMG	0.00011
Q72I12	P0A7M6	RL29	1.5e-12
Q72GW3	P0A7N9	RL33	2.1e-13
Q72H70	P0A840	SURE	9.5e-59
Q72HH1	P0AG20	RELA	5.4e-06
Q72I28	Q2EEQ2	RL362	3.1e-09
Q72KF7	P0A8N3	SYK1	5.4e-13
Q72I11	P0ADY7	RL16	7.2e-49
Q72J23	P0A8R0	RRAA	2.6e-42
P62662	P77499	SUFC	0.18
P61502	P0AGD3	SODF	1.1e-52
Q72JK8	P60651	SPEB	1.7e-34
Q72H19	P0A847	TGT	8.1e-123
P62657	P0ADZ4	RS15	3.3e-34
P62660	P0A7U3	RS19	3.9e-44
Q72K55	P09158	SPEE	3.1e-58
Q60050	P0A7B5	PROB	7e-102
Q72JG1	P30140	THIH	3.8e-05
Q72LI9	P00962	SYQ	3.2e-08
Q72LM0	P31057	PANB	7e-79
P62658	P0AG63	RS17	2.9e-24
Q746G0	P0A744	MSRA	3.6e-38
Q72GE2	P07813	SYL	1.9e-05
Q72IF0	P76213	CHO	0.19
Q72JR6	P00959	SYM	5.8e-08
Q72J71	P00959	SYM	5.8e-08
Q72JT2	P00959	SYM	5.8e-08
Q72J72	P36645	HOFB	5.9e-05
Q72HK9	P0A8I1	YQGF	1.5e-13
Q72LL3	P0A6A8	ACP	1.9e-27
Q72L14	P22787	YIFB	2e-05
Q72K02	P22787	YIFB	2e-05
P62030	P77444	SUFS	1.6e-05
Q72L15	P0A6G7	CLPP	8.8e-81
Q72H22	P0AGK1	UBIA	8.2e-19
Q72JS7	P36938	PGM	4.5e-10
Q72KE8	P33650	FEOB	5.2e-05
Q72GN2	P00547	KHSE	2.4e-06
Q72HN2	P50465	END8	9.2e-18
Q72GN3	Q46893	ISPD	1.8e-27
Q72IQ9	Q46893	ISPD	1.8e-27
Q72JB2	P04693	TYRB	0.23
P61989	P04693	TYRB	0.23
P61490	P0A6F5	CH60	1.1e-204
Q72G72	P0AAB6	GALF	0.00043
Q72IH2	P77690	ARNB	1.1e-07
Q72JL7	P24186	FOLD	1.6e-79
Q72IX3	P24186	FOLD	1.6e-79
Q72I01	P23845	CYSN	2.4e-08
P61492	P37306	ARCC	0.41
Q72IK6	P32670	PTFX2	0.058
Q72L05	P00864	CAPP	3.2e-142
Q72K27	P0A6L4	NANA	4.7e-33
Q72G68	P25740	RFAG	1.1e-07
Q72GZ0	P04079	GUAA	6.2e-09
Q72LB1	P27248	GCST	7.9e-75
Q72JE9	P0A6L0	DEOC	4.7e-23
P96136	P11446	ARGC	6.9e-48
P61785	P37002	CRCB	3.5e-13
Q72IA9	P24182	ACCC	3.2e-06
Q72HM3	P0A6Q3	FABA	1.4e-07
Q72IW2	P76245	DGCP	2.6e-05
Q72H33	P0A6K3	DEF	1.1e-27
Q72GW4	P0A7I4	RF3	3e-14
Q72ID5	P16690	PHNN	1.1e-07
Q72GY6	P0A6T1	G6PI	1.3e-22
Q72H75	P0A6T1	G6PI	1.3e-22
Q72LP1	P0A9D4	CYSE	0.00012
P61747	P0A6S7	GPDA	5.5e-61
Q72GN6	P76161	REQ2	0.018
Q72KE2	P45568	DXR	2.1e-81
Q72JL2	P0A6N8	EFPL	3.1e-29
Q72LB0	P06959	ODP2	0.0022
Q9ZND9	P75764	YBHJ	1.1e-06
Q9ZNE0	P25516	ACNA	8.9e-18
Q72L32	P23871	HEMH	8.3e-17
P62360	P60906	SYH	5.3e-20
Q72H85	P38104	RSPA	4.1e-05
Q72HF4	Q47147	YAFJ	7.5e-05
P61781	P0A7E5	PYRG	4.3e-05
Q72HP8	P62617	ISPF	3.8e-34
Q72IE6	P45578	LUXS	1.3e-38
Q8VUS5	P77425	ALLC	0.0093
Q72L58	P77425	ALLC	0.0093
P62460	P06988	HISX	8e-96
Q72JM6	P15005	MCRB	9.2e-05
Q72IK9	P15005	MCRB	5.3e-06
Q72IK5	P77277	EUTJ	1.2
Q72HS8	P0ABD5	ACCA	5.5e-105
Q72HA9	P0A7B5	PROB	1e-05
Q72LH1	P0A749	MURA	2.1e-08
Q72JT0	P0A9L8	P5CR	9.3e-06
Q745W0	P0A9L8	P5CR	9.3e-06
Q72K91	P0ABF1	PCNB	1.5e-13
Q72K35	P0A6M4	DTD	6.5e-47
Q72KH8	P0A6C1	END4	1.3e-39
Q72L31	P29680	DCUP	5.8e-76
Q72H81	P33570	TKT2	0.0061
Q72IV9	P24224	ACPS	6.2e-16
Q746F4	P0A8X0	YJGA	0.00088
Q72K90	P77622	DDPF	0.004
Q72K87	P0A752	NADD	0.00015
Q72ID1	P0A752	NADD	0.00015
P37270	P0A752	NADD	0.00015
Q72GZ4	P05042	FUMC	1.1e-10
Q72IZ2	P05042	FUMC	1.1e-10
Q72L64	P30131	HYPF	2e-08
Q72L21	P0ADW6	YHCC	5.5e-07
Q746C2	P0ADW6	YHCC	5.5e-07
Q72HY0	P0ADW6	YHCC	5.5e-07
P61526	P77756	QUEC	2e-05
P61488	P0A7B5	PROB	3.2e-07
Q72ID8	P0A6D0	ARGR	8.5e-18
Q72IU3	P69490	CCME	2.1e-23
Q72HS7	P0A9Q5	ACCD	8.3e-87
Q72J95	P37353	MENE	0.91
P96137	P37353	MENE	0.91
P96495	P33221	PURT	9e-12
Q72IW3	P12008	AROC	1.5e-50
Q72IV5	A0A7H2C766	A0A7H2C766	1.3e-50
Q72GY9	A0A7H2C766	A0A7H2C766	1.3e-50
Q72IW9	P08200	IDH	4.6e-12
P61695	P69222	IF1	6.7e-28
Q72KV2	P0A6P5	DER	4e-06
Q72IZ9	P68739	NFI	1.8e-41
Q72JE7	P0A729	NTPPB	1e-27
Q72G65	P62623	ISPH	1.7e-74
Q72GJ4	P52005	TORY	6.4e-06
Q72HR5	P0A6I6	COAD	9.4e-07
Q72GX1	P25745	MNMA	3e-74
P61671	P45751	HOFO	3.8e-06
Q72KS4	P0A6E1	AROL	1.6e-05
Q72GV2	P60720	LIPB	1.7e-33
P62055	P77280	YDJJ	0.46
Q72JP9	P17443	MURG	4.6e-44
Q72IJ0	P0A6X1	HEM1	3.1e-74
Q72H18	P62620	ISPG	9.8e-58
Q72I25	P0A812	RUVB	0.09
Q72H32	P37051	PURU	1.3e-09
Q72LG3	P37631	YHIN	0.00042
Q72KD8	P0A6P1	EFTS	3.5e-25
Q72LP2	P60955	LGT	8.8e-25
Q93R93	P12995	BIOA	1.4e-42
O87198	P51020	HOA	0.00018
Q746I8	P33232	LLDD	1.6e-06
Q72JB3	P75764	YBHJ	2.3e-11
Q72JT8	P0AFW4	RNK	3.7e-08
Q72K83	P12995	BIOA	1e-28
Q72IV3	P00547	KHSE	8.3e-25
Q72J39	P32131	HEMN	3.7e-06
P62453	P0ABT5	DUSB	3.3e-05
Q72GU1	P0ABT5	DUSB	3.3e-05
Q72JA8	P77596	YAGF	4.2e-49
Q72GU2	P33570	TKT2	0.0011
P61494	P08200	IDH	1e-07
P61977	P61889	MDH	1.3e-13
Q72I42	P52061	IXTPA	1.6e-58
Q72LH0	P0A6I0	KCY	1.4e-39
Q746J8	P0AEF4	DPIA	9.3e-06
Q72GD6	P37127	AEGA	0.16
Q72IG3	P37127	AEGA	0.16
Q9F0S9	P39333	BDCA	5e-12
Q746G3	P39333	BDCA	5e-12
Q72KK4	P39333	BDCA	5e-12
Q72HD9	P39333	BDCA	5e-12
Q72LF1	P76290	CMOA	0.0001
Q72KW7	P0A853	TNAA	2.6e-05
Q745W6	P0AEL3	FEOA	9.9e-06
Q72GM2	P0AEL3	FEOA	9.9e-06
Q72IY7	P0ACJ8	CRP	1.5e-15
Q72K62	P0ACJ8	CRP	8.1e-06
Q72JT1	P0ACJ8	CRP	8.1e-06
Q72I54	P76129	DOSP	3e-05
Q72JK7	P65807	YGEY	5.2e-07
Q72JR3	P0ADK8	YIBL	7e-06
Q72HP6	P0ADK8	YIBL	7e-06
Q72JB1	P0ADK8	YIBL	7e-06
Q745W9	P39212	INSN2	1.5e-07
Q72JW4	P39212	INSN2	1.5e-07
Q746A4	P39212	INSN2	1.5e-07
Q72HR6	P39212	INSN2	1.5e-07
Q72HS5	P0AF36	ZAPB	4e-05
Q72J17	P08331	CPDB	1.2e-17
Q72KI8	P76180	YDGK	0.00014
Q72K73	P0AGL7	RSME	1.2e-27
Q72KG6	P75746	PXPA	7.4e-07
Q72JI2	P75746	PXPA	7.4e-07
Q72L56	P75746	PXPA	7.4e-07
Q72HX0	P75746	PXPA	7.4e-07
Q72G82	P52073	GLCE	7.6e-18
Q72L68	P45550	YHFX	1.3e-05
Q72LH8	P0DPO3	YNAL	0.015
Q72LE1	P0DPO3	YNAL	0.015
Q72K99	P0DPO3	YNAL	0.015
Q72KK8	P0DPO3	YNAL	0.015
Q72I69	P37689	GPMI	3.2e-06
Q72L83	P0A9B6	E4PD	0.0013
Q72L19	P0A9B6	E4PD	0.0013
Q72JG9	P21893	RECJ	1.3e-65
Q72KK0	P00888	AROF	0.00011
Q72IX9	P77536	YKGF	1.2e-07
Q746A7	P77536	YKGF	1.2e-07
Q72HE6	P37047	CDAR	3e-06
Q72JX7	P37047	CDAR	3e-06
Q745Z7	P37047	CDAR	3e-06
Q745V9	Q46896	CAS1	8.1e-06
Q72KE5	Q46896	CAS1	8.1e-06
Q72JU4	P10121	FTSY	0.55
Q72GA9	P10121	FTSY	0.55
Q72G75	P45395	KDSD	4.3e-05
Q745Y7	P0AE52	BCP	2.4e-13
Q72G71	P0AE52	BCP	2.4e-13
Q72HQ4	P0AE52	BCP	2.4e-13
Q72K23	P75893	RUTF	1.4e-11
Q72IQ0	Q46904	YGCN	2e-05
Q72KC4	P77182	MNMC	2.9e-16
Q72LG0	P0AFH6	OPPC	0.051
Q72HF9	P0AFH6	OPPC	0.051
Q72KS6	P37675	YIAN	3.6e-45
Q72JA7	P37675	YIAN	3.6e-45
Q72LD7	P37675	YIAN	3.6e-45
Q72JZ2	P0ACR9	MPRA	4.9e-07
Q746C9	P0ACR9	MPRA	4.9e-07
Q72IP2	P10902	NADB	0.61
Q746M3	Q6BF16	DGOA	3.2e-19
Q72L75	Q6BF16	DGOA	3.2e-19
Q72L23	P0AEA5	CYOE	3e-15
Q72GF4	P12281	MOEA	1.8e-77
Q72J99	P0ACN2	YTFH	9.5e-19
Q72KD4	P0ACN2	YTFH	9.5e-19
Q72HI1	P0ACN2	YTFH	9.5e-19
Q746E6	P0ACN2	YTFH	9.5e-19
Q745Y2	P0ACN2	YTFH	9.5e-19
Q746E5	P0ACN2	YTFH	9.5e-19
Q72H79	P0AFM6	PSPA	2.3e-28
Q72LN4	P52096	YAER	1.9e-08
Q72KZ2	P52096	YAER	1.9e-08
Q72GW8	P0A9A9	FUR	3.1e-18
Q746B3	P0A9A9	FUR	3.1e-18
Q72JZ4	P75745	PXPC	1.4e-34
Q72KR6	P30140	THIH	1.9e-07
Q72LE3	P30140	THIH	1.9e-07
Q72GM9	P0ACT2	ENVR	3.8e-06
Q746M6	P0ACT2	ENVR	3.8e-06
Q72IK1	P0ACT2	ENVR	3.8e-06
Q72KU5	P00811	AMPC	2.3e-10
Q72L18	P00811	AMPC	2.3e-10
Q745U5	P00811	AMPC	2.3e-10
Q72IQ6	P00811	AMPC	2.3e-10
Q72IN5	P0A9U6	PUUR	2.5e-05
Q72G88	Q46925	CSDA	4.9e-05
Q72G93	P09163	YJAB	3.3e-05
Q72KE4	Q47536	YAIP	1.2e-06
Q72JE6	P27828	WECB	3.9e-05
Q72GJ3	P27828	WECB	3.9e-05
Q72GC6	P27828	WECB	3.9e-05
Q72ID3	P0AFP2	ATL	3.3e-07
Q72LK4	P0AFP2	ATL	3.3e-07
Q72IB7	P0ACM5	YEGW	2.6e-06
Q72HX3	P0ACM5	YEGW	2.6e-06
Q72K05	P0AF01	MODB	1.1e-05
Q72J26	P0AF01	MODB	1.1e-05
Q72L87	P0ABH9	CLPA	2.3e-05
Q72IL6	P0C054	IBPA	1.7e-07
Q72KX0	P76503	FADI	3.5e-11
Q72IC3	P0ABQ2	GARR	6.8e-05
Q72KR2	P60782	PLSY	1.4e-12
Q72H16	P60782	PLSY	1.4e-12
Q746K3	P76121	YDDH	1.7e-10
Q72JQ9	P23849	TRKG	0.0003
Q746P6	P62707	GPMA	1e-10
Q72LH7	P0AD96	LIVJ	3.6e-11
Q746E0	P0AD96	LIVJ	3.6e-11
Q72IW4	P34749	HOFQ	3.4e-27
Q72IE8	P0A8F0	UPP	7.4e-06
Q746F9	P0A8F0	UPP	7.4e-06
Q72JK6	P0A8F0	UPP	7.4e-06
Q72I50	P0ACY3	YEAG	2.9e-05
Q72LF0	P36999	RLMA	4.3e-07
Q72J15	P04395	3MG2	9.5e-06
Q72JI5	P04395	3MG2	9.5e-06
Q72I88	P04395	3MG2	9.5e-06
Q72IL9	P04395	3MG2	9.5e-06
Q746B2	P04395	3MG2	9.5e-06
Q72K49	P77488	DXS	4e-06
Q72KV3	P0AFB5	NTRB	0.46
Q72H67	P0AFL1	POTI	0.0013
Q72J66	P0ABA0	ATPF	0.00011
Q746H3	P0ABA0	ATPF	0.00011
Q72K67	P0ABA0	ATPF	0.00011
Q72KE7	P0ABA0	ATPF	0.00011
Q72J30	P75853	SSUA	1e-08
Q72HZ4	P75853	SSUA	1e-08
Q72KQ2	P0AE26	ARAH	0.0018
Q72H93	P0A809	RUVA	0.00036
Q72KP7	P37596	NORW	5.9e-05
Q72HC3	P0A9S3	GATD	1.3e-05
Q72K31	P37342	YJJI	4.7e-06
Q72H11	P37342	YJJI	4.7e-06
Q72JY8	P06999	PFKB	3.9e-06
Q745Z8	P28917	YDCC	2.2e-06
Q72HH7	P67095	YFCE	6.5e-05
Q72GD3	P77611	RSXC	1.8e-10
Q72IH1	P33931	CCMA	1.2
Q72KD6	P23893	GSA	1.9e-28
Q746N7	P23893	GSA	1.9e-28
Q72H55	P08192	FOLC	9.4e-54
Q746G5	P0A8W0	NANR	2e-05
Q72HC4	P31677	OTSA	0.063
Q72HF5	P31677	OTSA	0.063
Q72HV7	P31677	OTSA	0.063
Q72GE8	P0A9U6	PUUR	2.9e-07
Q72JB8	P0A9U6	PUUR	2.9e-07
Q72GT1	P75966	RLUE	1.7e-18
Q746E3	P75966	RLUE	1.7e-18
Q72HK2	P77541	PRPB	1.2e-17
Q72H53	P0AEZ9	MOAB	5.8e-24
Q72IF1	P0AEZ9	MOAB	5.8e-24
Q72GQ1	P0AEZ9	MOAB	5.8e-24
Q72KW2	P37649	PDEK	8.8e-05
Q72G74	P37649	PDEK	8.8e-05
Q72IM3	P17115	GUTQ	0.5
Q72JW6	P17115	GUTQ	0.5
Q72KV4	P16095	SDHL	4.9e-09
Q72JY7	P16095	SDHL	4.9e-09
Q72JY1	P0A7B1	PPK1	4.7e-69
Q72JP0	P0A7B1	PPK1	4.7e-69
Q72JP1	Q46915	GUDX	3.9e-05
Q746B7	P46923	TORZ	2.8e-10
Q72HI5	P06959	ODP2	0.0015
Q72KN6	P06959	ODP2	0.0015
Q72G73	P24554	RADA	4.4e-06
Q72IC5	P24554	RADA	4.4e-06
Q746F1	P24554	RADA	4.4e-06
Q72GP8	Q57083	PERR	1.9e-05
Q72L00	P0A7B8	HSLV	5.3e-55
Q746H6	P0A7B8	HSLV	5.3e-55
Q72J64	P77239	CUSB	2.3e-05
Q72LD2	P0AAK7	NRFC	0.022
Q72IQ8	P17169	GLMS	0.32
Q72HF1	P75874	YCCU	9.2e-30
Q72HE7	P75874	YCCU	9.2e-30
Q72HS2	P0AB71	ALF	4.8e-13
Q72IT7	P0AB71	ALF	4.8e-13
Q72HV2	P71311	YAIS	8.7e-06
Q72HG3	P71311	YAIS	8.7e-06
Q72GL9	P0ABT5	DUSB	3e-05
Q746B1	P16701	CYST	0.044
Q72JM2	P42601	ALX	1.6e-06
Q72L39	P0AE52	BCP	1.1e-05
Q72JD6	P0AAH8	SAPF	1.1e-06
Q72HW1	P0ABB8	ATMA	2.1e-15
Q72II7	P0AF24	NAGD	0.032
Q72LE9	P0DP64	YBEM	6.5e-09
Q72L13	P0DP64	YBEM	6.5e-09
Q72HK5	P0AC30	FTSX	4.2e-06
Q72IG4	P0AC30	FTSX	4.2e-06
Q72KP2	P0AC30	FTSX	4.2e-06
Q745U0	P0AC30	FTSX	4.2e-06
Q746H0	P0AC30	FTSX	4.2e-06
Q72IP7	P75919	CLSC	8.5e-08
Q72KV6	P75919	CLSC	8.5e-08
Q72LQ4	P75919	CLSC	8.5e-08
Q72L50	P75919	CLSC	8.5e-08
Q72LG1	P77348	MPPA	3.4e-11
Q72KW9	P31808	YCIK	0.00043
Q72H64	P0A9L5	PPIC	9.1e-07
Q72JV1	P30744	SDHM	1.1e-38
Q72G64	P30744	SDHM	1.1e-38
Q72LJ1	P0AGD7	SRP54	2.9e-45
Q745W5	P0AGD7	SRP54	2.9e-45
Q72GM1	P0AGD7	SRP54	2.9e-45
Q72LK3	P24193	HYPE	1.2e-06
Q72IH3	P24193	HYPE	1.2e-06
Q72GP9	P24193	HYPE	1.2e-06
Q72GA6	P76575	YFGJ	0.00017
Q746M1	P0AB80	ILVE	7.8e-06
Q72IC4	P0AB80	ILVE	7.8e-06
Q72GI7	P39333	BDCA	0.00051
Q72LG5	P0AAS5	YLBF	1e-05
Q72K20	P0AGI4	XYLH	0.0061
Q72IU1	P0ABM1	CCMC	3.9e-32
Q72GG9	P0ABM1	CCMC	3.9e-32
Q746H9	P0ABM1	CCMC	3.9e-32
Q72H35	P0ABM1	CCMC	3.9e-32
Q72JX2	P0ABM1	CCMC	3.9e-32
Q72KW5	P0ABM1	CCMC	3.9e-32
Q72IA6	P0ABM1	CCMC	3.9e-32
Q72IB2	P31825	TRMN6	3.8e-06
Q745X2	P23874	HIPA	1.5e-05
Q72KV9	P23874	HIPA	1.5e-05
Q72JQ6	P23874	HIPA	1.5e-05
Q72HU1	P23874	HIPA	1.5e-05
Q72HT1	P23874	HIPA	1.5e-05
